,Status_Terminated,Status_Ongoing,City_0,City_1,City_2,City_3,City_4,City_5,City_6,Country_0,Classification,Product Description,Reason for Recall
0,1,0,0,0,0,0,0,0,1,1,1,1.0099206349206349,1.0148809523809523
1,1,0,0,0,0,0,0,0,1,1,1,1.0099206349206349,1.0148809523809523
2,1,0,0,0,0,0,0,1,0,1,1,1.0127551020408163,1.0127551020408163
3,1,0,0,0,0,0,0,1,1,1,1,1.0099206349206349,1.0127551020408163
4,1,0,0,0,0,0,0,0,1,1,1,1.0099206349206349,1.0127551020408163
5,1,0,0,0,0,0,0,1,0,1,1,1.0127551020408163,1.0127551020408163
6,1,0,0,0,0,0,1,0,0,1,1,1.2611607142857142,1.155612244897959
7,1,0,0,0,0,0,1,0,1,1,2,1.3861607142857142,1.1815476190476188
8,1,0,0,0,0,0,1,0,1,1,2,1.1815476190476188,1.1815476190476188
9,1,0,0,0,0,0,0,0,1,1,2,1.3861607142857142,1.1815476190476188
10,1,0,0,0,0,0,1,1,0,1,2,1.2611607142857142,1.1815476190476188
11,1,0,0,0,0,0,1,1,1,1,2,1.2611607142857142,1.1815476190476188
12,1,0,0,0,0,1,0,0,0,1,2,1.3861607142857142,1.155612244897959
13,0,1,0,0,0,1,0,0,1,1,1,1.0148809523809523,1.0127551020408163
14,0,1,0,0,0,1,0,0,1,1,1,1.0148809523809523,1.0127551020408163
15,0,1,0,0,0,1,0,1,0,1,1,1.0148809523809523,1.0148809523809523
16,0,1,0,0,0,1,0,1,0,1,1,1.0148809523809523,1.0148809523809523
17,0,1,0,0,0,1,0,1,1,1,1,1.0148809523809523,1.0148809523809523
18,0,1,0,0,0,1,1,0,0,1,1,1.0148809523809523,1.0148809523809523
19,0,1,0,0,0,1,1,0,1,1,1,1.0148809523809523,1.0148809523809523
20,0,1,0,0,0,1,1,1,0,1,1,1.0148809523809523,1.0111607142857142
21,0,1,0,0,0,1,1,1,0,1,1,1.0148809523809523,1.0111607142857142
22,0,1,0,0,0,1,1,1,0,1,1,1.0148809523809523,1.0111607142857142
23,0,1,0,0,0,1,1,1,1,1,1,1.0148809523809523,1.0127551020408163
24,0,1,0,0,0,1,1,1,1,1,1,1.0148809523809523,1.0127551020408163
25,0,1,0,0,1,0,0,0,0,1,1,1.0148809523809523,1.0148809523809523
26,0,1,0,0,1,0,0,0,1,1,1,1.0148809523809523,1.0099206349206349
27,0,1,0,0,1,0,0,0,1,1,1,1.0148809523809523,1.0099206349206349
28,0,1,0,0,1,0,0,0,1,1,1,1.0148809523809523,1.0099206349206349
29,0,1,0,0,1,0,0,0,1,1,1,1.0148809523809523,1.0099206349206349
30,0,1,0,0,1,0,0,1,0,1,1,1.0148809523809523,1.0148809523809523
31,0,1,0,0,1,0,0,1,1,1,1,1.0148809523809523,1.0148809523809523
32,0,1,0,0,1,0,1,0,0,1,2,1.1815476190476188,1.298469387755102
33,0,1,0,0,1,0,1,0,0,1,2,1.1815476190476188,1.298469387755102
34,0,1,0,0,1,0,1,0,1,1,0,0.8482142857142856,0.8482142857142856
35,0,1,0,0,1,0,1,1,0,1,1,1.0148809523809523,1.0148809523809523
36,0,1,0,0,1,0,1,1,1,1,1,1.0148809523809523,1.0148809523809523
37,0,1,0,0,0,1,1,1,0,1,1,1.0148809523809523,1.0148809523809523
38,0,1,0,0,1,1,0,0,0,1,1,1.0148809523809523,1.0148809523809523
39,0,1,0,0,1,1,0,0,1,1,2,1.1815476190476188,1.1815476190476188
40,0,1,0,0,1,1,0,1,0,1,2,1.1815476190476188,1.1815476190476188
41,0,1,0,0,1,1,0,1,1,1,2,1.1815476190476188,1.1815476190476188
42,0,1,0,0,0,1,0,0,1,1,0,0.8482142857142856,0.4241071428571428
43,0,1,0,0,0,1,0,0,1,1,0,0.8482142857142856,0.4241071428571428
44,0,1,0,0,0,1,0,0,1,1,0,0.8482142857142856,0.4241071428571428
45,0,1,0,0,0,1,0,0,1,1,0,0.8482142857142856,0.4241071428571428
46,0,1,0,0,0,1,0,0,1,1,0,0.8482142857142856,0.4241071428571428
47,0,1,0,0,0,1,0,0,1,1,0,0.8482142857142856,0.4241071428571428
48,0,1,0,0,0,1,0,0,1,1,0,0.8482142857142856,0.4241071428571428
49,0,1,0,0,1,1,1,0,0,1,0,0.8482142857142856,0.8482142857142856
50,0,1,0,0,1,1,1,0,1,1,0,0.8482142857142856,0.8482142857142856
51,0,1,0,0,1,1,1,1,0,1,1,1.0148809523809523,1.0148809523809523
52,0,1,0,0,1,1,1,1,1,1,1,1.0148809523809523,1.0148809523809523
53,0,1,0,1,0,0,0,0,0,1,1,1.0148809523809523,1.0148809523809523
54,0,1,0,1,0,0,0,0,1,1,1,1.0148809523809523,1.0148809523809523
55,0,1,0,1,0,0,0,1,0,1,1,1.0148809523809523,1.0148809523809523
